crn, instructorFirstName, instructorLastName
40639,B,Gregg
10098,,
11769,,
10104,,
29753,A,Freter
75466,C,Ohms
75449,A,Witmer
61084,S,Hall
61085,S,Hall
45303,S,Hall
71553,D,Clifton
63619,P,Vargas
69475,P,Vargas
71431,P,Vargas
71432,P,Vargas
61086,P,Vargas
70087,A,Mabry-Flynn
65173,J,Fisher
62716,J,Hitchon
64451,J,Hitchon
65174,B,Duff
69335,B,Duff
71433,B,Duff
71435,B,Duff
62721,B,Duff
75901,,
75902,,
75261,H,Taneja
75264,C,Wilson
68906,S,Warren
69167,J,Fisher
57971,C,Wilson
66827,J,Chambers
71554,D,Clifton
57969,M,Peacock
57970,M,Peacock
71555,D,Clifton
61087,P,Sheldon
61088,M,Nelson
68375,,
10112,,
29747,B,Duff
64821,T,Kasdan
29754,A,Vance
51297,J,Wirtz
72946,S,Oh
72947,J,Wirtz
53466,P,Sheldon
53225,P,Sheldon
72399,E,Maslowska
62726,C,Ham
61094,C,Ham
72929,E,Maslowska
55557,M,Nelson
63554,K,Wise
51300,K,Wise
72933,X,Hu
65290,M,Yao
63724,D,Clifton
66376,L,Su
41798,M,Peacock
50823,M,Peacock
50839,M,Peacock
64824,,
62727,S,Meron
64458,S,Meron
64459,S,Meron
64460,S,Meron
29768,S,Sar
57980,A,Mabry-Flynn
72995,L,Su
29771,C,Ham
10116,,
31221,,
60131,C,Ham
10120,,
76212,N,Zahedi Mehr
55762,N,Zahedi Mehr
46515,N,Zahedi Mehr
46516,T,Saxton-Fox
76211,T,Saxton-Fox
63909,T,Saxton-Fox
73403,J,Laystrom-Woodard
73404,J,Laystrom-Woodard
10004,,
67368,J,Merret
55736,H,Tran
29785,A,Goza
66643,K,Stephani
29786,J,Lambros
66645,H,Chew
29788,S,Eggl
66644,M,Ornik
10012,,
10015,,
10008,,
29794,R,Woollands
63683,R,Woollands
29800,M,Brewster
62174,M,Brewster
29803,P,Ansell
63684,P,Ansell
36855,K,James
62978,K,James
59126,K,James
29787,J,Rovey
63686,J,Rovey
57765,J,Merret
57766,M,Lembeck
36451,,
58075,,
58079,,
36452,,
36453,,
36454,,
36455,B,Woodard
36456,,
36457,,
70718,,
65820,,
65262,,
65263,,
36458,,
58080,,
64014,,
36450,B,Woodard
54489,,
54490,,
54491,,
59292,,
63487,,
69206,,
70611,,
75659,,
75667,,
75668,,
75669,,
75670,,
75671,,
75672,,
54488,M,Belabbas
75673,M,Belabbas
58056,,
58057,,
58058,,
58059,,
58060,,
58061,,
67446,,
70717,,
57767,T,Bretl
72131,D,Levin Fliflet
72132,D,Levin Fliflet
10019,,
39788,D,Bodony
72133,F,Panerai
72134,F,Panerai
39793,H,Hilton
63693,H,Hilton
60267,J,Merret
63704,J,Merret
68287,A,Vakakis
72125,A,Vakakis
39797,C,Langbort
63702,C,Langbort
61494,G,Elliott
29808,,
70304,,
63964,,
10021,,
69433,M,Panesi
70952,Z,Putnam
70953,Z,Putnam
65309,M,Panesi
10024,,
31223,D,Bergman
31224,D,Bergman
31226,D,Bergman
31230,D,Bergman
64677,E,Ashworth
31236,D,Bergman
50669,D,Bergman
31241,D,Bergman
31243,D,Bergman
31245,D,Bergman
29810,R,Bailey
47705,S,Cha-Jua
47707,S,Cha-Jua
36652,S,Cha-Jua
57511,,
75548,J,Meyers
75549,J,Meyers
75550,J,Meyers
75551,J,Meyers
67122,J,Meyers
71041,,
71044,,
74249,,
55973,L,Bright
57813,M,McKee
38492,M,Bowen
73936,,
55609,C,Freeburg
46869,I,Hunt
71410,A,Burgos
71414,A,Burgos
71418,A,Burgos
75270,A,Burgos
75273,A,Burgos
75276,A,Burgos
70107,A,Burgos
65001,,
33765,,
33771,J,Anderson
56234,M,Lyubansky
51826,E,McDuffie
69260,H,Neville
60132,H,Neville
54751,B,Barnett
64991,B,Barnett
56090,S,Cha-Jua
56385,S,Cha-Jua
64926,L,Dash
64928,L,Dash
57821,,
57820,,
51973,,
51974,,
46585,F,Harrison
62651,,
46593,C,Jenkins
72868,M,Nobili
10130,,
36527,M,Gathogo
36529,M,Gathogo
75542,A,Witmer
56793,M,Gathogo
43136,M,Bowen
46239,M,Gathogo
59281,M,Gathogo
44178,M,Gathogo
70132,M,Gathogo
40593,M,Gathogo
36642,M,Gathogo
46169,M,Gathogo
71109,,
10134,,
10137,,
38779,O,Roberts
75564,H,Cupps-Miller
66884,H,Cupps-Miller
38783,E,Morgan
75565,E,Morgan
75566,E,Morgan
29823,G,Ochs
29825,G,Ochs
58126,G,Ochs
64879,A,Taylor
65585,A,Taylor
74017,A,Leman
56348,T,Pulley
56124,A,Carter
52423,C,Firkins
52015,A,Carter
70895,,
59275,J,Woods
62975,C,Firkins
67435,T,Offenstein
73821,S,Clay
70725,J,Davis
70726,J,Davis
72042,J,Davis
69650,J,Davis
72534,J,Davis
73393,R,Pahre
55859,D,Rymhs
46680,L,Marshall
75367,J,de la Garza
56073,D,Rymhs
73087,H,Cupps-Miller
76231,G,Ochs
73487,,
73479,J,Smist
73496,,
75544,O,Roberts
75552,O,Roberts
73521,J,Smist
