courseDept,courseNum,id,type
ANTH,438,1,PREREQ
ANTH,438,2,PREREQ
ANTH,438,3,PREREQ
ANTH,440,0,PREREQ
ANTH,441,0,PREREQ
ANTH,443,0,PREREQ
ANTH,444,0,PREREQ
ANTH,445,0,PREREQ
ANTH,446,0,PREREQ
ANTH,447,0,PREREQ
ANTH,448,0,PREREQ
ANTH,449,0,PREREQ
ANTH,451,0,PREREQ
ANTH,452,0,PREREQ
ANTH,455,0,PREREQ
ANTH,459,0,PREREQ
ANTH,467,0,PREREQ
ANTH,472,0,PREREQ
ANTH,472,1,PREREQ
ANTH,472,2,PREREQ
ANTH,477,0,PREREQ
ANTH,481,0,PREREQ
ANTH,481,1,PREREQ
ANTH,496,0,PREREQ
ANTH,497,0,PREREQ
ANTH,540,0,PREREQ
ANTH,561,0,PREREQ
ARAB,211,0,PREREQ
ARAB,403,0,PREREQ
ARAB,404,0,PREREQ
ARAB,405,0,PREREQ
ARAB,406,0,PREREQ
ARAB,407,0,PREREQ
ARAB,408,0,PREREQ
ARAB,409,0,PREREQ
ARAB,410,0,PREREQ
ARAB,412,0,PREREQ
ARAB,490,0,PREREQ
ARCH,232,0,PREREQ
ARCH,232,1,PREREQ
ARCH,232,2,PREREQ
ARCH,232,3,PREREQ
ARCH,341,0,PREREQ
ARCH,342,0,PREREQ
ARCH,351,0,PREREQ
ARCH,352,0,PREREQ
ARCH,402,0,PREREQ
ARCH,403,0,PREREQ
ARCH,409,0,PREREQ
ARCH,410,0,PREREQ
ARCH,411,0,PREREQ
ARCH,411,1,PREREQ
ARCH,412,0,PREREQ
ARCH,413,0,PREREQ
ARCH,413,1,PREREQ
ARCH,414,0,PREREQ
ARCH,414,1,PREREQ
ARCH,415,0,PREREQ
ARCH,416,0,PREREQ
ARCH,416,1,PREREQ
ARCH,417,0,PREREQ
ARCH,418,0,PREREQ
ARCH,433,0,PREREQ
ARCH,435,0,PREREQ
ARCH,435,1,PREREQ
ARCH,435,2,PREREQ
ARCH,441,0,PREREQ
ARCH,451,0,PREREQ
ARCH,452,0,PREREQ
ARCH,473,0,PREREQ
ARCH,473,1,PREREQ
ARCH,474,0,PREREQ
ARCH,475,0,PREREQ
ARCH,476,0,PREREQ
ARCH,502,0,PREREQ
ARCH,502,1,PREREQ
ARCH,516,0,PREREQ
ARCH,519,0,PREREQ
ARCH,522,0,PREREQ
ARCH,522,1,PREREQ
ARCH,536,0,PREREQ
ARCH,536,1,PREREQ
ARCH,537,0,PREREQ
ARCH,538,0,PREREQ
ARCH,538,1,PREREQ
ARCH,538,2,PREREQ
ARCH,545,0,PREREQ
ARCH,547,0,PREREQ
ARCH,547,1,PREREQ
ARCH,547,2,PREREQ
ARCH,548,0,PREREQ
ARCH,548,1,PREREQ
ARCH,550,0,PREREQ
ARCH,551,0,PREREQ
ARCH,551,1,PREREQ
ARCH,552,0,PREREQ
ARCH,552,1,PREREQ
ARCH,553,0,PREREQ
ARCH,553,0,COREQ
ARCH,554,0,PREREQ
ARCH,555,0,PREREQ
ARCH,556,0,PREREQ
ARCH,556,1,PREREQ
ARCH,556,0,COREQ
ARCH,556,1,COREQ
ARCH,557,0,PREREQ
ARCH,558,0,PREREQ
ARCH,559,0,PREREQ
ARCH,560,0,PREREQ
ARCH,575,0,PREREQ
ARCH,575,1,PREREQ
ARCH,577,0,PREREQ
ARTD,202,0,PREREQ
ARTD,301,0,PREREQ
ARTD,302,0,PREREQ
ARTD,317,0,PREREQ
ARTD,333,0,PREREQ
ARTD,371,0,PREREQ
ARTD,371,1,PREREQ
ARTD,401,0,PREREQ
ARTD,402,0,PREREQ
ARTD,418,0,PREREQ
ARTD,444,0,PREREQ
ARTD,444,1,PREREQ
ARTD,451,0,PREREQ
ARTD,452,0,PREREQ
ARTD,452,1,PREREQ
ARTD,471,0,PREREQ
ARTD,471,1,PREREQ
ARTD,502,0,PREREQ
ARTD,503,0,PREREQ
ARTD,504,0,PREREQ
ARTD,505,0,PREREQ
ARTD,506,0,PREREQ
ARTE,204,0,PREREQ
ARTE,301,0,PREREQ
ARTE,301,1,PREREQ
ARTE,302,0,PREREQ
ARTE,302,1,PREREQ
ARTE,302,2,PREREQ
ARTE,401,0,PREREQ
ARTF,105,0,PREREQ
ARTH,495,0,PREREQ
ARTH,501,0,PREREQ
ARTH,550,0,PREREQ
ARTH,550,1,PREREQ
ARTS,231,0,PREREQ
ARTS,250,0,PREREQ
ARTS,250,1,PREREQ
ARTS,252,0,PREREQ
ARTS,252,1,PREREQ
ARTS,265,0,PREREQ
ARTS,266,0,PREREQ
ARTS,267,0,PREREQ
ARTS,310,0,PREREQ
ARTS,331,0,PREREQ
ARTS,333,0,PREREQ
ARTS,334,0,PREREQ
ARTS,350,0,PREREQ
ARTS,351,0,PREREQ
ARTS,354,0,PREREQ
ARTS,381,0,PREREQ
ARTS,405,0,PREREQ
ARTS,410,0,PREREQ
ARTS,410,1,PREREQ
ARTS,430,0,PREREQ
ARTS,431,0,PREREQ
ARTS,443,0,PREREQ
ARTS,444,0,PREREQ
ARTS,451,0,PREREQ
ARTS,455,0,PREREQ
ARTS,455,1,PREREQ
ARTS,456,0,PREREQ
ARTS,456,1,PREREQ
ASRM,210,0,PREREQ
ASRM,406,0,PREREQ
ASRM,410,0,COREQ
ASRM,490,0,PREREQ
ASRM,533,0,PREREQ
ASRM,552,0,PREREQ
ASTR,210,0,PREREQ
ASTR,310,0,PREREQ
ASTR,310,1,PREREQ
ASTR,310,0,COREQ
ASTR,404,0,PREREQ
ASTR,405,0,PREREQ
ASTR,406,0,PREREQ
ASTR,414,0,PREREQ
ASTR,414,1,PREREQ
ASTR,501,0,PREREQ
ASTR,502,0,PREREQ
ASTR,502,1,PREREQ
ASTR,502,2,PREREQ
ASTR,504,0,PREREQ
ASTR,504,1,PREREQ
ASTR,504,2,PREREQ
ASTR,505,0,PREREQ
ASTR,506,0,PREREQ
ASTR,507,0,PREREQ
ATMS,201,0,PREREQ
ATMS,201,0,COREQ
ATMS,201,1,COREQ
