courseDept,courseNum,GPA,title
ANTH,182,3.44,Latin American Cultures
ANTH,199,3.33,Undergraduate Open Seminar
ANTH,209,3.76,"Food, Culture, and Society"
ANTH,220,3.29,Introduction to Archaeology
ANTH,225,3.47,Women in Prehistory
ANTH,230,3.36,Sociocultural Anthropology
ANTH,240,3.42,Biological Anthropology
ANTH,241,3.48,Human Biological Variation
ANTH,246,3.64,Forensic Science
ANTH,249,3.48,Evolution and Human Disease
ANTH,259,3.72,Latina/o Anthropology
ANTH,262,3.06,Women's Lives
ANTH,266,3.23,African Film and Society
ANTH,268,3.23,Images of the Other
ANTH,270,3.21,Language in Culture
ANTH,277,3.34,"Ancient Cities, Sacred Land"
ANTH,278,3.74,Climate Change & Civilization
ANTH,288,3.16,American Indians of Illinois
ANTH,343,3.69,Behavior and Biology of Women
ANTH,363,3.21,Anth of Dance/Movement
ANTH,368,3.35,'America' in the World
ANTH,372,3.93,Topics in Lang & Culture
ANTH,374,3.59,Anth of Science and Technology
ANTH,375,3.54,The Culture of Nature
ANTH,379,3.16,Medical Anthropology
ANTH,393,3.04,The World of Jewish Sepharad
ANTH,399,3.61,Special Topics
ANTH,411,3.72,Research Methods in Socio-Cultural Anthropology
ANTH,414,3.32,Writing Ethnography
ANTH,437,3.29,Primate Behav Endocrinology
ANTH,441,3.68,Human Genetics
ANTH,449,3.73,North American Archeology
ANTH,459,3.61,The Ancient Maya
ANTH,460,3.73,Heritage Management
ANTH,462,3.58,Museum Theory and Practice
ANTH,466,3.76,"Class, Culture and Society"
ANTH,498,3.52,Senior Capstone Seminar
ARAB,150,3.62,Lang&Culture of Arab World
ARAB,201,3.46,Elementary Standard Arabic I
ARAB,202,3.51,Elementary Standard Arabic II
ARAB,403,3.55,Intermediate Stand Arabic I
ARAB,404,3.66,Intermediate Stand Arabic II
ARAB,405,3.62,Advanced Standard Arabic I
ARCH,101,3.57,Introduction to Architecture
ARCH,171,3.39,Concepts and Theories of Architectural Design
ARCH,172,3.5,Drawing and Modeling
ARCH,199,3.68,Undergraduate Open Seminar
ARCH,210,3.22,Introduction to the History of World Architecture
ARCH,231,3.4,Anatomy of Buildings
ARCH,232,3.37,Structural Fundamentals
ARCH,273,3.03,Strategies of Architectural Design
ARCH,274,2.97,Representation
ARCH,314,3.94,History of World Landscapes
ARCH,321,3.39,"Environment, Architecture, and Global Health"
ARCH,341,2.98,Environment Tech HVAC
ARCH,342,3.09,Environment Tech Ltg & Acoust
ARCH,351,3.25,Statics & Dynamics
ARCH,352,3.28,Mech of Mat & Design Appl
ARCH,403,3.29,Special Topics in Architectural History
ARCH,407,3.33,Rome: City of Visible History
ARCH,409,3.39,Special Topics in Spanish Arch
ARCH,410,3.13,Ancient Egyptian & Greek Arch
ARCH,411,3.28,Ancient Roman Architecture
ARCH,412,3.04,Medieval Architecture
ARCH,413,3.4,Renaissance Architecture
ARCH,414,3.5,Baroque & Rococo Arch
ARCH,415,3.13,Modernity’s Mirror: Nineteenth-Century Architecture 1750-1900
ARCH,416,3.35,"The Architecture of the United States, c.1650 to Present"
ARCH,417,3.26,Modern and Contemporary Global Architecture
ARCH,423,3.8,Soc/Beh Factors for Design
ARCH,433,3.32,Design of Steel and Reinforced Concrete Structures
ARCH,435,3.1,Structural Systems and Construction Methods
ARCH,451,3.4,Theory & Design Steel & Timber
ARCH,452,3.46,Theory of Reinforced Concrete
ARCH,468,3.55,Overseas Architectural Studies
ARCH,475,3.34,Arch Design & Development
ARCH,476,3.44,Arch Design & Exploration
ARCH,490,3.58,Special Topics in Contemporary Architecture
ARCH,501,3.49,Architectural Practice
ARCH,502,3.4,Structural Planning
ARCH,517,3.58,"Modern Architectural History, 1850-Present"
ARCH,536,3.29,Planning and Design of Structural Systems
ARCH,537,3.43,Environmental Control Systems II
ARCH,551,3.42,Structural Analysis
ARCH,553,3.3,Adv Reinforced Concrete Design
ARCH,554,3.78,Adv Steel Design
ARCH,556,3.63,Advanced Structural Planning
ARCH,563,3.65,Soc/Beh Research Designed Env
ARCH,577,3.18,Theories of Architecture
ARCH,593,3.5,Special Problems in Detail and Fabrication
ARCH,595,3.61,Spec Prob Struct Theory & Des
ART,100,3.46,Understanding Visual Culture
ART,102,3.7,Drawing for Non-Majors
ART,103,3.87,Painting for Non-Majors
ART,104,3.94,Sculpture for Non-Majors
ART,105,3.79,Visual Design for Non-Majors
ART,140,3.67,Introduction to Art
ART,202,3.9,Art in the Elementary Grades
ART,205,3.49,Experience & Meaning in Design
ART,299,3.67,Special Topics in Art
ART,310,3.73,Design Thinking
ARTD,101,3.59,Introduction to Industrial Design
ARTD,201,3.37,Industrial Design I
ARTD,202,3.42,Industrial Design II
ARTD,209,3.39,Chado (The Way of Tea)
ARTD,215,3.49,Introduction to Typography for Non-Majors
ARTD,216,3.4,Introduction to Image Making
ARTD,217,3.51,Graphic Design for Non-Majors
ARTD,218,3.65,Interaction Design Foundation
ARTD,222,3.54,Typographic Practice
ARTD,225,3.22,Design Drawing
ARTD,228,3.19,Computer Applications
ARTD,230,3.84,Design Thinking/Need-Finding
ARTD,251,3.59,Graphic Design Toolbox
ARTD,270,3.71,Design Methods
ARTD,299,3.66,Spec Topics in Design Courses
ARTD,301,3.05,Industrial Design III
ARTD,302,3.16,Industrial Design IV
ARTD,318,3.42,Interaction Design
ARTD,326,3.4,Sustainability & Manufacturing
ARTD,328,3.64,Human-Centered Product Design
ARTD,333,3.57,Type & Image
ARTD,351,3.71,Graphic Design Inquiry
ARTD,371,3.69,Graphic Design Practicum
ARTD,401,3.38,Industrial Design V
ARTD,402,3.42,Industrial Design VI
ARTD,418,3.35,Advanced Interaction Design
ARTD,420,3.88,Disability Design
ARTD,426,3.54,Product Innovation
ARTD,444,3.76,Typographic Systems
ARTD,445,3.39,Seminar in Design
ARTD,448,3.51,Professional Design Practice
ARTD,471,3.76,Graphic Design Capstone
ARTD,499,3.41,Special Topics in Design
ARTE,101,3.54,"Art, Design, and Society"
ARTE,201,3.72,Foundations of Art Education
ARTE,202,3.85,Facilitating the Art Experience
ARTE,475,3.92,Art Exhibition Practices
ARTF,101,3.44,Contemporary Issues in Art
ARTF,102,3.72,Observational Drawing
ARTF,103,3.83,Design I
ARTF,104,3.52,Expressive Drawing
ARTH,110,3.41,Introduction to the History of Art and Visual Culture
ARTH,111,3.3,Ancient to Medieval Art
ARTH,112,3.29,Renaissance to Modern Art
ARTH,113,3.32,Introduction to African Art
ARTH,211,3.15,Design History Survey
ARTH,215,3.0,Greek Art
ARTH,222,3.21,Medieval Art
ARTH,231,3.37,Northern Renaissance Art
ARTH,235,3.25,"Art, Power and Culture in 17th-Century Europe"
ARTH,240,3.25,Art of the Nineteenth Century
ARTH,241,3.47,"Modern Art, 1880-1940"
ARTH,242,3.51,Art Since 1940
ARTH,250,3.35,American Art
ARTH,257,3.06,History of Photography
ARTH,260,3.13,Graffiti and Murals
ARTH,299,3.39,Spec Topics in Art History
ARTH,310,3.35,African Art and Society I
